pf,S1,S2
1.0,0.14042152943847808,0.14067079402579902
1.5,0.21028995394187555,0.21113619307048867
2.0,0.2797372012965212,0.2817637233271864
2.5,0.3486141601616061,0.35261509071351926
3.0,0.4167447105834627,0.42376008492468153
3.5,0.48392294294982063,0.49528551049864505
4.0,0.5499137660247366,0.5672900008833688
4.5,0.614419880937814,0.6399052113864064
5.0,0.6770755488992635,0.7139516370352205
5.5,0.7374378774980082,0.7901479592686096
6.0,0.794833640149697,0.8679120819227109
6.5,0.8481946662725313,0.9521238852450312
7.0,0.8959555473516633,1.0497784109329777
7.5,0.93537956397567,1.161300130354581
8.0,0.9631232388027775,1.283082442498327
